precio,expensas,direccion,superficie,dormitorios,banos,antiguedad,fuente,ciudad,superficie_imputada,superficie_rango,banos_imputado
450000.0,70000.0,"61 700, Piso 2",50,1,1,0,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
550000.0,70000.0,"37 1500, Piso 1",65,2,1,8,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
350000.0,,49 400,35,,1,20,argenprop,Buenos Aires,False,"(23.999, 42.0]",False
420000.0,50000.0,ALQUILER DEPARTAMENTO 1 DORMITORIO ZONA PARQUE CASTELLI,42,1,1,20,argenprop,Buenos Aires,False,"(23.999, 42.0]",True
420000.0,50000.0,ZONA FACULTADES DIAG 113 Y 64,45,1,1,15,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
320000.0,52000.0,"66 100, Piso 2",30,1,1,20,argenprop,Buenos Aires,False,"(23.999, 42.0]",True
490000.0,63000.0,"24 1300, Piso 1",45,1,1,15,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
430000.0,,"59 300, Piso 5",,1,,,argenprop,Buenos Aires,False,,False
480000.0,32000.0,"45 entre 17 y 18 , Piso 1",46,1,1,10,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
800000.0,75000.0,7 esquina 51,80,3,1,80,argenprop,Buenos Aires,True,"(70.0, 300.0]",False
430000.0,45000.0,62 al 800,45,1,1,4,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
450000.0,,56  e 13 y 14 900,46,1,1,,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
500000.0,,24 e/47 y 48 N°795 700,56,2,1,35,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
450000.0,,21 e/ 47 y 48 700,46,1,1,30,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
400000.0,,23 e/44 y 45,46,1,1,18,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
583000.0,70000.0,26 e/ 38 y 39,42,1,1,8,argenprop,Buenos Aires,False,"(23.999, 42.0]",True
550000.0,,"1 entre 68y69 1700, Piso PB",,2,,50,argenprop,Buenos Aires,False,,False
700000.0,75000.0,46 e/ 10 Y 11,58,2,1,18,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
430000.0,100000.0,39 e/ 11 y 12,40,1,1,5,argenprop,Buenos Aires,False,"(23.999, 42.0]",True
520000.0,70000.0,Calle 56 3 y 4,60,1,1,12,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
380000.0,,"49 entre 136 y 137 2000, Piso 1",46,1,1,24,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
600000.0,,9 e/ 47 y 48,65,2,1,0,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
380000.0,20000.0,"Calle 68 500, Piso 2",,1,,,argenprop,Buenos Aires,False,,False
400000.0,,Calle 69 300,45,1,1,0,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
530000.0,,19 y 71,57,2,1,,argenprop,Buenos Aires,True,"(52.0, 70.0]",False
650000.0,,Calle 69 300,70,2,1,0,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
320000.0,45000.0,4 al 1100,27,,1,40,argenprop,Buenos Aires,False,"(23.999, 42.0]",False
420000.0,45000.0,57 entre 17 y 18,45,1,1,0,argenprop,Buenos Aires,False,"(42.0, 52.0]",True
400000.0,,Calle 41 entre Av. 19 y Calle,57,2,1,,argenprop,Buenos Aires,True,"(52.0, 70.0]",False
430000.0,85000.0,"Calle 55 400, Piso 14",41,1,1,40,argenprop,Buenos Aires,False,"(23.999, 42.0]",True
570000.0,,"19 300, Piso 8",38,,,,argenprop,Buenos Aires,False,"(23.999, 42.0]",False
480000.0,,"CALLE 6 35 Y 36 200, Piso P.B",55,2,1,40,argenprop,Buenos Aires,False,"(52.0, 70.0]",True
370000.0,,Calle 14 entre 45 y 46,57,2,1,,argenprop,Buenos Aires,True,"(52.0, 70.0]",False
420000.0,65000.0,"61 500, Piso 1",46,1,1,12,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
380000.0,80000.0,48 600,46,1,1,30,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
330000.0,,"Calle 26 1200, Piso 1",46,1,1,,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
450000.0,,Calle 45 e/ 22 y 23,46,1,1,25,argenprop,Buenos Aires,True,"(42.0, 52.0]",False
490000.0,70000.0,"5 Y 57 , Piso 1",57,2,1,30,argenprop,Buenos Aires,True,"(52.0, 70.0]",False
370000.0,43000.0,14 e/ 57 y 58,35,,1,0,argenprop,Buenos Aires,False,"(23.999, 42.0]",False
