Precio,Expensas,Direccion,Superficie,Dormitorios,Banos,Antiguedad,Ambientes,Fuente,ciudad
370000,No disponible,"Calle 5 1300, Piso 2do",32  m² cubie.,No disponible,No disponible,1 año,No disponible,argenprop,Buenos Aires
450000,70000,"61 700, Piso 1",55  m² cubie.,1 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
No disponible,No disponible,"37 1500, Piso 1",65  m² cubie.,2 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
380000,No disponible,"Diagonal 79 100, Piso 1",38  m² cubie.,1 dorm.,No disponible,10 años,No disponible,argenprop,Buenos Aires
350000,50000,ALQUILER MONOAMBIENTE CON COCHERA,33  m² cubie.,No disponible,1 baño,8 años,No disponible,argenprop,Buenos Aires
340000,No disponible,"70 500, Piso 2",40  m² cubie.,1 dorm.,No disponible,25 años,No disponible,argenprop,Buenos Aires
470000,No disponible,ALQUILER DEPARTAMENTO 1 DORMITORIO ZONA PARQUE CASTELLI,42  m² cubie.,1 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
360000,No disponible,67 700,42  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
350000,30000,47 900,No disponible,No disponible,No disponible,A Estrenar,Monoam.,argenprop,Buenos Aires
420000,No disponible,"11 600, Piso 2",35  m² cubie.,No disponible,1 baño,No disponible,Monoam.,argenprop,Buenos Aires
360000,94000,11 e/ 38 y 39,32  m² cubie.,No disponible,1 baño,A Estrenar,No disponible,argenprop,Buenos Aires
523600,100000,39 e/ 11 y 12,40  m² cubie.,1 dorm.,No disponible,5 años,No disponible,argenprop,Buenos Aires
480000,No disponible,Avenida 13  entre 61 y 62 1400,47  m² cubie.,1 dorm.,No disponible,2 años,No disponible,argenprop,Buenos Aires
340000,35000,16  n 1681 e 66 y 67,50  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
640000,No disponible,9 e/ 47 y 48,65  m² cubie.,2 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
400000,55000,"61 400, Piso 8",60  m² cubie.,1 dorm.,No disponible,5 años,No disponible,argenprop,Buenos Aires
400000,80000,3 entre 43 y 44,No disponible,1 dorm.,1 baño,6 años,No disponible,argenprop,Buenos Aires
600000,130000,55 500,No disponible,No disponible,No disponible,40 años,Monoam.,argenprop,Buenos Aires
400000,No disponible,Calle 69 300,45  m² cubie.,1 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
300000,50000,Calle 11 1200,21  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
650000,No disponible,Calle 69 300,70  m² cubie.,2 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
320000,45000,4 al 1100,27  m² cubie.,No disponible,1 baño,40 años,No disponible,argenprop,Buenos Aires
420000,45000,57 entre 17 y 18,45  m² cubie.,1 dorm.,No disponible,A Estrenar,No disponible,argenprop,Buenos Aires
500000,1500,"Calle 62 900, Piso 6",No disponible,1 dorm.,1 baño,A Estrenar,No disponible,argenprop,Buenos Aires
400000,No disponible,Calle 41 entre Av. 19 y Calle,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
430000,85000,"Calle 55 400, Piso 14",41  m² cubie.,1 dorm.,No disponible,40 años,No disponible,argenprop,Buenos Aires
350000,No disponible,Plaza Paso,No disponible,No disponible,1 baño,No disponible,Monoam.,argenprop,Buenos Aires
450000,No disponible,Calle 20 entre 32 y 33,No disponible,2 dorm.,1 baño,No disponible,3 ambientes,argenprop,Buenos Aires
600000,No disponible,"61 1100, Piso 10",No disponible,2 dorm.,No disponible,No disponible,No disponible,argenprop,Buenos Aires
400000,No disponible,"Calle 49 1000, Piso 2",45  m² cubie.,1 dorm.,No disponible,No disponible,2 ambientes,argenprop,Buenos Aires
480000,No disponible,"56 100, Piso 5",No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Buenos Aires
380000,80000,48 600,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
480000,No disponible,61 entre 5 y 6 500,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
420000,60000,58 11 y 1258 entre 11 y 12,No disponible,1 dorm.,1 baño,15 años,No disponible,argenprop,Buenos Aires
400000,No disponible,"Calle 115 1600, Piso 4",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
380000,No disponible,"Calle 26 1200, Piso 1",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
450000,No disponible,56  e 13 y 14 900,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
350000,90000,Torre Brumel - 56 e/ 18 y 19,30  m² cubie.,No disponible,1 baño,A Estrenar,No disponible,argenprop,Buenos Aires
400000,50000,14 e/ 57 y 58,35  m² cubie.,No disponible,1 baño,A Estrenar,No disponible,argenprop,Buenos Aires
340500,100000,22 e/ 44 y 45,30  m² cubie.,No disponible,1 baño,5 años,No disponible,argenprop,Buenos Aires
490000,No disponible,Plaza Italia y Diagonal 74,67  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
630000,160000,9 e/ 59 y Avenida 60,64  m² cubie.,2 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
650000,60000,Plaza Matheu 100,75  m² cubie.,2 dorm.,No disponible,5 años,No disponible,argenprop,Buenos Aires
1150000,100000,Calle 68 600,100  m² cubie.,3 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
No disponible,No disponible,"18 e/ 51 y 53 900, Piso 4",No disponible,2 dorm.,1 baño,3 años,No disponible,argenprop,Buenos Aires
340000,50000,"61 Entre 18 Y 19 , Piso 8",32  m² cubie.,No disponible,No disponible,10 años,Monoam.,argenprop,Buenos Aires
No disponible,No disponible,"59 e/ 15 y 16 1000, Piso 3",No disponible,No disponible,1 baño,20 años,Monoam.,argenprop,Buenos Aires
570000,No disponible,"1 entre 68y69 1700, Piso PB",No disponible,2 dorm.,No disponible,50 años,3 ambientes,argenprop,Buenos Aires
