precio,Expensas,Direccion,Superficie,Dormitorios,Banos,Antiguedad,Ambientes,Fuente,ciudad
500000,70000,"61 700, Piso 2",50  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
550000,70000,"37 1500, Piso 1",65  m² cubie.,2 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
420000,50000,25 y 67 ZONA PARQUE CASTELLI,42  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
350000,No disponible,49 400,35  m² cubie.,No disponible,1 baño,20 años,No disponible,argenprop,Buenos Aires
450000,No disponible,45 17 Y 18 CON COCHERA (1 DORMITORIO),45  m² cubie.,1 dorm.,No disponible,20 años,No disponible,argenprop,Buenos Aires
490000,63000,"Calle 24 1300, Piso 1",45  m² cubie.,1 dorm.,No disponible,15 años,No disponible,argenprop,Buenos Aires
700000,75000,46 e/ 10 Y 11,58  m² cubie.,2 dorm.,No disponible,18 años,No disponible,argenprop,Buenos Aires
550000,No disponible,"1 entre 68y69 1700, Piso PB",No disponible,2 dorm.,No disponible,50 años,3 ambientes,argenprop,Buenos Aires
800000,75000,7 esquina 51,No disponible,3 dorm.,1 baño,80 años,No disponible,argenprop,Buenos Aires
450000,No disponible,21 e/ 47 y 48 700,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
350000,No disponible,63 y 21,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
583000,70000,26 e/ 38 y 39,42  m² cubie.,1 dorm.,No disponible,8 años,No disponible,argenprop,Buenos Aires
450000,No disponible,56  e 13 y 14 900,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
430000,100000,39 e/ 11 y 12,40  m² cubie.,1 dorm.,No disponible,5 años,No disponible,argenprop,Buenos Aires
520000,70000,Calle 56 3 y 4,60  m² cubie.,1 dorm.,No disponible,12 años,No disponible,argenprop,Buenos Aires
600000,No disponible,9 e/ 47 y 48,65  m² cubie.,2 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
350000,No disponible,Calle 69 300,45  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
600000,130000,55 500,No disponible,No disponible,No disponible,40 años,No disponible,argenprop,Buenos Aires
320000,45000,4 al 1100,27  m² cubie.,No disponible,1 baño,40 años,No disponible,argenprop,Buenos Aires
420000,45000,57 entre 17 y 18,45  m² cubie.,1 dorm.,No disponible,a estrenar,No disponible,argenprop,Buenos Aires
350000,No disponible,Plaza Paso,No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
570000,No disponible,"19 300, Piso 8",38  m² cubie.,No disponible,No disponible,No disponible,No disponible,argenprop,Buenos Aires
480000,No disponible,"CALLE 6 35 Y 36 200, Piso P.B",55  m² cubie.,2 dorm.,No disponible,40 años,No disponible,argenprop,Buenos Aires
480000,No disponible,"56 100, Piso 5",No disponible,No disponible,No disponible,No disponible,No disponible,argenprop,Buenos Aires
420000,65000,"61 500, Piso 1",No disponible,1 dorm.,1 baño,12 años,No disponible,argenprop,Buenos Aires
No disponible,No disponible,"58 700, Piso PB",No disponible,No disponible,1 baño,No disponible,No disponible,argenprop,Buenos Aires
380000,80000,48 600,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
No disponible,No disponible,6 e/32 y 33,No disponible,1 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
420000,80000,"7 entre 41y42 600, Piso 9",No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
490000,No disponible,48  esquina 7 600,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
450000,No disponible,Calle 45 e/ 22 y 23,No disponible,1 dorm.,1 baño,25 años,No disponible,argenprop,Buenos Aires
450000,65000,54 800,No disponible,2 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
400000,No disponible,"Calle 47 entre 1 y 2 300, Piso 4",42  m² cubie.,1 dorm.,1 baño,No disponible,No disponible,argenprop,Buenos Aires
350000,No disponible,46 entre 1 y 2,No disponible,1 dorm.,1 baño,No disponible,2 ambientes,argenprop,Buenos Aires
490000,70000,"5 Y 57 , Piso 1",No disponible,2 dorm.,1 baño,30 años,No disponible,argenprop,Buenos Aires
